DATE,PAYEMS
2016-10-01,145071
2016-11-01,145201
2016-12-01,145415
2017-01-01,145612
2017-02-01,145795
2017-03-01,145934
2017-04-01,146154
2017-05-01,146295
2017-06-01,146506
2017-07-01,146734
2017-08-01,146924
2017-09-01,146966
2017-10-01,147215
2017-11-01,147411
2017-12-01,147590
2018-01-01,147671
2018-02-01,148049
2018-03-01,148244
2018-04-01,148397
2018-05-01,148667
2018-06-01,148881
2018-07-01,149030
2018-08-01,149259
2018-09-01,149364
2018-10-01,149576
2018-11-01,149668
2018-12-01,149908
2019-01-01,150145
2019-02-01,150095
2019-03-01,150263
2019-04-01,150482
2019-05-01,150545
2019-06-01,150720
2019-07-01,150913
2019-08-01,151108
2019-09-01,151329
2019-10-01,151524
2019-11-01,151758
2019-12-01,151919
2020-01-01,152234
2020-02-01,152523
2020-03-01,150840
2020-04-01,130161
2020-05-01,132994
2020-06-01,137840
2020-07-01,139566
2020-08-01,141149
2020-09-01,141865
2020-10-01,142545
2020-11-01,142809
2020-12-01,142503
2021-01-01,142736
2021-02-01,143272
2021-03-01,144057
2021-04-01,144326
2021-05-01,144940
2021-06-01,145902
2021-07-01,146993
2021-08-01,147476
2021-09-01,147788
2021-10-01,148319
